CIK,CompanyName,Assets,Liabilies,PretaxIncome_Dom,PretaxIncome_For,PropertyPlantEquip,Tax_For,Tax_Total,Category
6201,AMERICAN AIRLINES GROUP INC,60580,60749,1884,NA,43249,29,472,"Transportation, Communications, Electric, Gas, And Sanitary Services"
3197,CECO ENVIRONMENTAL CORP,392.582,214.022,6.23,-3.733,22.2,2.834,9.618,Manufacturing
706688,AARON'S INC,2826.692,1065.984,NA,NA,1532.762,0,55.994,Services
1800,ABBOTT LABORATORIES,67173,36451,-430,3303,7563,606,539,Manufacturing
2098,ACME UNITED CORP,109.477,57.145,1.929,3.602,14.543,0.619,0.933,Manufacturing
2178,ADAMS RESOURCES & ENERGY INC,278.87,132.272,NA,NA,44.623,0,0.509,Wholesale Trade
2488,ADVANCED MICRO DEVICES,4556,3290,114,214,348,-17,-9,Manufacturing
3146,ALABAMA GAS CORP,1616.2,807.5,NA,NA,1134.1,NA,81.6,"Transportation, Communications, Electric, Gas, And Sanitary Services"
3153,ALABAMA POWER CO,26730,18962,NA,NA,21851,NA,291,"Transportation, Communications, Electric, Gas, And Sanitary Services"
766421,ALASKA AIR GROUP INC,10912,7161,NA,NA,6781,0,148,"Transportation, Communications, Electric, Gas, And Sanitary Services"
701288,ATRION CORP,231.216,20.449,NA,NA,74.893,0,7.781,Manufacturing
3453,MATSON INC,2430.4,1675.1,NA,NA,1366.6,0,38.7,"Transportation, Communications, Electric, Gas, And Sanitary Services"
3499,ALEXANDER'S INC,1481.257,1196.165,NA,NA,0,NA,0.004,"Finance, Insurance, And Real Estate"
773840,HONEYWELL INTERNATIONAL INC,57773,39408,2919,4568,5296,1177,659,Public Administration
4127,SKYWORKS SOLUTIONS INC,4828.9,731.9,712.2,619.9,1140.9,31.2,413.7,Manufacturing
4447,HESS CORP,21433,10545,-219,439,16083,455,335,Mining
4515,AMERICAN AIRLINES INC,70878,59108,NA,NA,42894,28,534,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4457,AMERCO,11891.713,8199.324,466.175,11.354,7933.971,1.375,106.672,Services
771497,ABM INDUSTRIES INC,3627.5,2172.9,94.8,-7.1,140.1,3.9,-8.2,Services
1475922,PRIMERICA INC,12595.048,11133.535,337.914,78.17,35.996,36.028,91.99,"Finance, Insurance, And Real Estate"
742126,US ECOLOGY INC,947.898,588.681,46.147,18.711,258.443,4.746,15.263,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4904,AMERICAN ELECTRIC POWER CO,68802.8,49634.6,NA,NA,55099.1,NA,115.3,"Transportation, Communications, Electric, Gas, And Sanitary Services"
4962,AMERICAN EXPRESS CO,188602,166312,6696,1426,4416,681,1201,"Finance, Insurance, And Real Estate"
4977,AFLAC INC,140406,116944,NA,NA,443,771,1063,"Finance, Insurance, And Real Estate"
5272,AMERICAN INTERNATIONAL GROUP,491984,434675,-12,269,2172,202,154,"Finance, Insurance, And Real Estate"
904163,AMERICAN NATIONAL INSURANCE,26912.353,21640.838,NA,NA,109.472,0,1.445,"Finance, Insurance, And Real Estate"
1102238,AMERICAN REALTY INVESTORS,826.149,505.022,NA,NA,381.043,0,1.21,"Finance, Insurance, And Real Estate"
713425,AMERICAN SOFTWARE  -CL A,161.31,46.703,NA,NA,3.585,NA,0.838,Services
5981,AMERICAN VANGUARD CORP,593.587,264.357,26.124,7.472,49.252,2.121,9.145,Manufacturing
1037868,AMETEK INC,8662.288,4420.366,555.077,432.668,554.13,51.686,209.812,Manufacturing
318154,AMGEN INC,66416,53916,4856,4689,4958,227,1151,Manufacturing
6176,AMPCO-PITTSBURGH CORP,571.119,478.15,-48.169,4.362,185.661,0.839,0.268,Manufacturing
6281,ANALOG DEVICES,20449.779,9461.239,590.19,1048.327,1154.328,47.633,143.085,Manufacturing
6494,ANDREA ELECTRONICS CORP,1.519,1.951,-0.956,0.013,0.055,0.002,0.002,Manufacturing
821026,ANDERSONS INC,2392.003,1515.239,46.678,6.478,998.496,1.138,11.931,Wholesale Trade
1163739,NABORS INDUSTRIES LTD,7853.944,4698.757,-119.419,-399.375,5467.87,32.928,79.269,Mining
6769,APACHE CORP,21582,12770,-723,1681,18421,895,672,Mining
6845,APOGEE ENTERPRISES INC,1068.168,571.851,60.042,-1.38,315.823,-0.459,12.968,Manufacturing
6879,APPALACHIAN POWER,12290.5,8284.4,NA,NA,10668.3,NA,-44.9,"Transportation, Communications, Electric, Gas, And Sanitary Services"
320193,APPLE INC,365725,258578,24903,48000,41304,3986,13372,Manufacturing
6951,APPLIED MATERIALS INC,17773,10934,439,4255,1407,126,1381,Manufacturing
6955,ACTUANT CORP  -CL A,1481.338,922.626,-11.325,-1.347,90.22,12.532,8.976,Manufacturing
352991,ADVANCED OXYGEN TECHNOLOGY,0.688,0.38,NA,NA,0.633,0.008,0.008,"Finance, Insurance, And Real Estate"
7084,ARCHER-DANIELS-MIDLAND CO,40833,21788,972,1088,9953,171,245,Manufacturing
894405,ARCBEST CORP,1539.231,821.549,84.386,NA,631.188,2.238,17.124,"Transportation, Communications, Electric, Gas, And Sanitary Services"
7323,ENTERGY ARKANSAS,10401.596,7418.493,NA,NA,7210.556,NA,-297.067,"Transportation, Communications, Electric, Gas, And Sanitary Services"
7536,ARROW ELECTRONICS INC,17784.445,12408.079,186.677,722.696,824.7,178.767,187.799,Wholesale Trade
1674862,ASHLAND GLOBAL HOLDINGS INC,8252,4846,-163,277,1899,78,9,Manufacturing
8146,ASTRONOVA INC,118.983,49.208,6.859,0.449,10.38,0.952,1.578,Manufacturing
8063,ASTRONICS CORP,774.64,388.015,44.982,7.3,120.862,1.123,5.479,Manufacturing
1004155,SOUTHERN CO GAS,21448,12878,NA,NA,11357,NA,464,"Transportation, Communications, Electric, Gas, And Sanitary Services"
744187,REX AMERICAN RESOURCES CORP,471.393,26.122,NA,NA,182.521,0,-22.922,Manufacturing
769397,AUTODESK INC,4729.2,4940.1,-224.1,181.4,149.7,65.3,38.1,Services
8670,AUTOMATIC DATA PROCESSING,37088.7,33629.1,1849.8,321.3,793.7,105.5,550.3,Services
8818,AVERY DENNISON CORP,5177.5,4222.4,-7.3,562.1,1137.4,134.3,85.4,Manufacturing
8858,AVNET INC,9596.845,4911.764,-385.1,530.177,522.909,104.156,287.966,Wholesale Trade
8868,AVON PRODUCTS,3010,3414.7,39.3,68.8,570.2,182.3,129.9,Manufacturing
8947,AZZ INC,1088.57,484.842,48.261,14.744,256.097,2.829,11.797,Manufacturing
9092,BADGER METER INC,392.691,89.188,31.584,4.268,90.321,1.468,8.062,Manufacturing
9326,BALCHEM CORP  -CL B,981.355,289.737,NA,NA,194.339,4.06,20.457,Manufacturing
9346,PROTECTIVE INSURANCE CORP,1490.131,1134.049,NA,NA,46.645,0,-9.797,"Finance, Insurance, And Real Estate"
9389,BALL CORP,16554,12992,193,440,4542,115,185,Manufacturing
763901,POPULAR INC,47604.577,42169.52,NA,NA,569.808,NA,119.579,"Finance, Insurance, And Real Estate"
46195,BANK OF HAWAII CORP,17143.974,15875.774,NA,NA,151.837,NA,50.624,"Finance, Insurance, And Real Estate"
1390777,BANK OF NEW YORK MELLON CORP,362873,322005,NA,NA,1832,NA,938,"Finance, Insurance, And Real Estate"
9984,BARNES GROUP INC,2808.97,1605.914,-10.719,218.214,370.531,57.871,41.309,Manufacturing
10048,BARNWELL INDUSTRIES,31.378,15.139,-2.449,0.078,16.461,-0.56,-0.601,Mining
10456,BAXTER INTERNATIONAL INC,15641,7825,16,1677,4542,310,63,Manufacturing
109563,APPLIED INDUSTRIAL TECH INC,2285.741,1470.778,186.874,17.844,121.343,5.309,63.093,Wholesale Trade
10795,BECTON DICKINSON & CO,53904,32910,-135,1308,5375,386,862,Manufacturing
729580,BEL FUSE INC,443.524,267.054,0.3,23.316,43.932,3.782,2.907,Manufacturing
732712,VERIZON COMMUNICATIONS INC,264829,210119,19801,-178,89286,267,3584,"Transportation, Communications, Electric, Gas, And Sanitary Services"
11199,BEMIS CO INC,3571,2355.1,201.7,84,1250.3,22.3,60,Manufacturing
1067983,BERKSHIRE HATHAWAY,707794,355294,NA,NA,166706,1117,-321,Public Administration
764478,BEST BUY CO INC,12901,9595,1574,314,2510,64,424,Retail Trade
12208,BIO-RAD LABORATORIES INC,5611.068,1590.737,363.359,149.3,508.69,30.545,147.045,Manufacturing
720762,NON INVASIVE MONITOR,0.11,3.788,NA,NA,0,0,0,Manufacturing
1130464,BLACK HILLS CORP,6963.327,4675.904,NA,NA,4854.879,NA,-23.667,"Transportation, Communications, Electric, Gas, And Sanitary Services"
12659,BLOCK H & R INC,3299.945,2758.418,389.319,155.841,212.092,6.711,99.904,Services
314808,ENSCO ROWAN PLC,14023.7,5934.9,NA,NA,12616.2,NA,89.6,Mining
12927,BOEING CO,117359,116949,11166,438,12645,169,1144,Manufacturing
315213,ROBERT HALF INTL INC,1903.097,839.899,485.489,106.113,125.176,35.007,157.314,Services
13239,HEXION INC,1961,4875,-195,69,841,26,40,Manufacturing
1393066,RESOLUTE FOREST PRODUCTS INC,3935,2400,-90,477,1515,-12,152,Manufacturing
746598,BRADY CORP,1056.931,304.819,48.903,103.112,97.945,26.593,60.955,Manufacturing
14177,BRIDGFORD FOODS CORP,101.494,35.814,NA,NA,32.638,0,6.296,Manufacturing
14195,BRIGGS & STRATTON,1443.966,873.542,-5.35,16.451,422.08,3.556,22.421,Manufacturing
14272,BRISTOL-MYERS SQUIBB CO,34986,20859,2338,3630,5027,450,1021,Manufacturing
14693,BROWN FORMAN CORP,5139,3492,863,179,816,34,207,Manufacturing
14707,CALERES INC,1838.568,1203.133,40,-45.754,230.784,-7.243,-0.273,Manufacturing
14930,BRUNSWICK CORP,4285.7,2703.1,227.5,94.7,805.3,29.1,59.1,Manufacturing
1104657,MATERION CORP,800.341,246.435,20.272,-3.93,251.018,2.71,-4.504,Manufacturing
15615,MASTEC INC,4439.953,3047.929,341.103,24.2,747.808,9.4,106.072,Construction
