"","X","Index","CIK","Locations","URL","Year","IsSecrecyHaven","SecHavenScore","SecrecyHavenStatus","TaxHeavenStaus"
"1",1,1,1000209,"New York",1,2018,0,NA,0,0
"2",2,2,1000209,"Minnesota",1,2018,0,NA,0,0
"3",3,3,1000209,"Utah",1,2018,0,NA,0,0
"4",4,4,1000209,"Delaware",1,2018,0,NA,0,0
"5",5,5,1000228,"Utah",2,2018,0,NA,0,0
"6",6,6,1000228,"Delaware",2,2018,0,NA,0,0
"7",7,8,1000228,"United Kingdom",2,2018,1,42.4,0,0
"8",8,9,1000228,"Switzerland",2,2018,1,76.5,1,1
"9",9,10,1000228,"Canada",2,2018,1,54.8,0,0
"10",10,11,1000228,"Germany",2,2018,1,59.1,0,0
"11",11,12,1000623,"Brazil",3,2018,1,49,0,0
"12",12,13,1000623,"Delaware",3,2018,0,NA,0,0
"13",13,14,1000623,"France",3,2018,1,51.7,0,0
"14",14,15,1000623,"Luxembourg",3,2018,1,58.2,0,1
"15",15,16,1000623,"Canada",3,2018,1,54.8,0,0
"16",16,17,1000623,"Philippines",3,2018,1,65.4,1,0
"17",17,18,1000623,"Poland",3,2018,1,57.4,0,0
"18",18,19,1000623,"Russia",3,2018,1,64,1,0
"19",19,20,1000623,"United Kingdom",3,2018,1,42.4,0,0
"20",20,21,1000623,"Hong Kong",3,2018,1,71.1,1,1
"21",21,22,1000623,"Singapore",3,2018,1,67.1,1,1
"22",22,23,1000623,"Germany",3,2018,1,59.1,0,0
"23",23,24,1000623,"Belgium",3,2018,1,44,0,0
"24",24,25,1000623,"China",3,2018,1,60.1,1,0
"25",25,26,1000623,"Spain",3,2018,1,47.7,0,0
"26",26,27,1000694,"Sweden",4,2018,1,45.5,0,0
"27",27,28,1000753,"Delaware",6,2018,0,NA,0,0
"28",28,29,1000753,"California",6,2018,0,NA,0,0
"29",29,30,1000753,"Texas",6,2018,0,NA,0,0
"30",30,31,1000753,"Bermuda",6,2018,1,73.1,1,1
"31",31,33,1001082,"Colorado",7,2018,0,NA,0,0
"32",32,34,1001838,"Mexico",8,2018,1,54.4,0,0
"33",33,35,1001838,"Delaware",8,2018,0,NA,0,0
"34",34,36,1001838,"Peru",8,2018,0,NA,0,0
"35",35,37,1002910,"Delaware",9,2018,0,NA,0,0
"36",36,38,1002910,"Illinois",9,2018,0,NA,0,0
"37",37,39,1002910,"Missouri",9,2018,0,NA,0,0
"38",38,40,1003201,"Maryland",10,2018,0,NA,0,0
"39",39,41,1003201,"Cayman Islands",10,2018,1,72.3,1,1
"40",40,42,1003201,"Delaware",10,2018,0,NA,0,0
"41",41,43,1003201,"Florida",10,2018,0,NA,0,0
"42",42,44,1003410,"Georgia",11,2018,1,NA,0,0
"43",43,44,1003410,"Georgia",11,2018,1,NA,0,0
"44",44,45,1003410,"India",11,2018,1,51.9,0,0
"45",45,47,1003410,"Ohio",11,2018,0,NA,0,0
"46",46,48,1003410,"Delaware",11,2018,0,NA,0,0
"47",47,50,1003410,"Jersey",11,2018,1,65.5,1,1
"48",48,51,1003642,"California",12,2018,0,NA,0,0
"49",49,52,1003642,"Delaware",12,2018,0,NA,0,0
"50",50,53,1003642,"Ireland",12,2018,1,50.7,0,1
"51",51,54,1003642,"Netherlands",12,2018,1,66,1,0
"52",52,56,100517,"Delaware",14,2018,0,NA,0,0
"53",53,57,100517,"Vermont",14,2018,0,NA,0,0
"54",54,58,100517,"Mexico",14,2018,1,54.4,0,0
"55",55,59,100517,"England",14,2018,0,NA,0,0
"56",56,60,100517,"Netherlands",14,2018,1,66,1,0
"57",57,61,100517,"Cayman Islands",14,2018,1,72.3,1,1
"58",58,62,100517,"Wisconsin",14,2018,0,NA,0,0
"59",59,63,1005201,"Delaware",15,2018,0,NA,0,0
"60",60,64,1005201,"Bermuda",15,2018,1,73.1,1,1
"61",61,65,1005757,"California",16,2018,0,NA,0,0
"62",62,66,1005757,"Delaware",16,2018,0,NA,0,0
"63",63,67,1005757,"New Zealand",16,2018,1,56.2,0,0
"64",64,68,1005757,"Singapore",16,2018,1,67.1,1,1
"65",65,69,1005757,"Malaysia",16,2018,0,NA,0,0
"66",66,70,1005757,"Africa",16,2018,0,NA,0,0
"67",67,71,1005757,"Sweden",16,2018,1,45.5,0,0
"68",68,72,1005757,"United Kingdom",16,2018,1,42.4,0,0
"69",69,73,1005757,"Mexico",16,2018,1,54.4,0,0
"70",70,74,1005757,"India",16,2018,1,51.9,0,0
"71",71,75,1005757,"Spain",16,2018,1,47.7,0,0
"72",72,76,1005757,"Canada",16,2018,1,54.8,0,0
"73",73,77,1005757,"Ireland",16,2018,1,50.7,0,1
"74",74,78,1005757,"Niger",16,2018,0,NA,0,0
"75",75,79,1005757,"France",16,2018,1,51.7,0,0
"76",76,80,1005757,"Denmark",16,2018,1,52.5,0,0
"77",77,81,1005757,"Germany",16,2018,1,59.1,0,0
"78",78,82,1005757,"Brazil",16,2018,1,49,0,0
"79",79,83,1005757,"Italy",16,2018,1,49.5,0,0
"80",80,84,1005757,"United Arab Emirates",16,2018,0,NA,0,0
"81",81,85,1005757,"Indonesia",16,2018,1,61.5,1,0
"82",82,86,1005757,"Uruguay",16,2018,1,60.8,1,1
"83",83,87,1005757,"Jersey",16,2018,1,65.5,1,1
"84",84,88,1005757,"Colombia",16,2018,0,NA,0,0
"85",85,89,1006269,"Delaware",17,2018,0,NA,0,0
"86",86,90,1006269,"Netherlands",17,2018,1,66,1,0
"87",87,91,1006269,"Canada",17,2018,1,54.8,0,0
"88",88,92,1006837,"Delaware",18,2018,0,NA,0,0
"89",89,93,1006837,"Florida",18,2018,0,NA,0,0
"90",90,94,1006837,"Panama",18,2018,1,76.6,1,1
"91",91,95,1006837,"Canada",18,2018,1,54.8,0,0
"92",92,96,1006837,"Singapore",18,2018,1,67.1,1,1
"93",93,97,1006837,"United Kingdom",18,2018,1,42.4,0,0
"94",94,98,1006837,"Arizona",18,2018,0,NA,0,0
"95",95,99,1006837,"Thailand",18,2018,1,79.9,1,0
"96",96,100,1006837,"Philippines",18,2018,1,65.4,1,0
"97",97,101,1006837,"New Zealand",18,2018,1,56.2,0,0
"98",98,102,1006837,"New York",18,2018,0,NA,0,0
"99",99,103,1006837,"Texas",18,2018,0,NA,0,0
"100",100,104,1006837,"Germany",18,2018,1,59.1,0,0
"101",101,105,1006837,"Bermuda",18,2018,1,73.1,1,1
"102",102,106,1006837,"Netherlands",18,2018,1,66,1,0
"103",103,107,1006837,"Guernsey",18,2018,1,72.5,1,0
"104",104,108,1006837,"Italy",18,2018,1,49.5,0,0
"105",105,109,1007019,"Washington",19,2018,0,NA,0,0
"106",106,110,1007330,"Georgia",20,2018,1,NA,0,0
"107",107,110,1007330,"Georgia",20,2018,1,NA,0,0
"108",108,111,1007330,"India",20,2018,1,51.9,0,0
"109",109,112,1007330,"Mexico",20,2018,1,54.4,0,0
"110",110,113,1007330,"Argentina",20,2018,0,NA,0,0
"111",111,114,1007330,"Brazil",20,2018,1,49,0,0
"112",112,115,1007330,"Singapore",20,2018,1,67.1,1,1
"113",113,116,1007330,"China",20,2018,1,60.1,1,0
"114",114,117,1007330,"Czech Republic",20,2018,1,52.9,0,0
"115",115,118,1007330,"Delaware",20,2018,0,NA,0,0
"116",116,119,1007330,"Texas",20,2018,0,NA,0,0
"117",117,120,1007330,"Jersey",20,2018,1,65.5,1,1
"118",118,121,1007330,"United Kingdom",20,2018,1,42.4,0,0
"119",119,122,1007330,"Canada",20,2018,1,54.8,0,0
"120",120,123,1007330,"Germany",20,2018,1,59.1,0,0
"121",121,124,1007330,"Netherlands",20,2018,1,66,1,0
"122",122,125,1007330,"Colombia",20,2018,0,NA,0,0
"123",123,126,1007330,"Sweden",20,2018,1,45.5,0,0
"124",124,127,1007330,"Venezuela",20,2018,1,68.5,1,0
"125",125,128,1007330,"Poland",20,2018,1,57.4,0,0
"126",126,129,1007587,"United Kingdom",21,2018,1,42.4,0,0
"127",127,130,1007587,"Belgium",21,2018,1,44,0,0
"128",128,131,1007587,"Denmark",21,2018,1,52.5,0,0
"129",129,132,1007587,"Hong Kong",21,2018,1,71.1,1,1
"130",130,133,1007587,"Singapore",21,2018,1,67.1,1,1
"131",131,134,1007587,"India",21,2018,1,51.9,0,0
"132",132,135,100826,"Delaware",22,2018,0,NA,0,0
"133",133,136,100826,"Illinois",22,2018,0,NA,0,0
"134",134,137,100826,"Missouri",22,2018,0,NA,0,0
"135",135,138,100885,"Delaware",23,2018,0,NA,0,0
"136",136,139,1009672,"China",24,2018,1,60.1,1,0
"137",137,140,1009672,"Us",24,2018,1,59.8,0,0
"138",138,141,1009829,"China",25,2018,1,60.1,1,0
"139",139,142,1009829,"Hong Kong",25,2018,1,71.1,1,1
"140",140,143,1009829,"Canada",25,2018,1,54.8,0,0
"141",141,144,1009829,"United Kingdom",25,2018,1,42.4,0,0
"142",142,145,1009829,"France",25,2018,1,51.7,0,0
"143",143,146,1009829,"Germany",25,2018,1,59.1,0,0
"144",144,147,1009829,"Spain",25,2018,1,47.7,0,0
"145",145,148,1009829,"Delaware",25,2018,0,NA,0,0
"146",146,149,1009829,"Mexico",25,2018,1,54.4,0,0
"147",147,150,1009829,"Ohio",25,2018,0,NA,0,0
"148",148,151,1009829,"Jersey",25,2018,1,65.5,1,1
"149",149,152,1010612,"Costa Rica",26,2018,1,68.7,1,1
"150",150,153,1010612,"Delaware",26,2018,0,NA,0,0
"151",151,154,1010612,"Denmark",26,2018,1,52.5,0,0
"152",152,155,1010612,"Egypt",26,2018,0,NA,0,0
"153",153,156,1010612,"El Salvador",26,2018,0,NA,0,0
"154",154,157,1010612,"Finland",26,2018,1,52.7,0,0
"155",155,158,1010612,"Florida",26,2018,0,NA,0,0
"156",156,159,1010612,"Germany",26,2018,1,59.1,0,0
"157",157,160,1010612,"Hungary",26,2018,1,54.7,0,0
